transaction_id,book_title,category,user_id,issue_date,return_date,fine_amount
1,DBMS,AI,111,2025-03-17,2025-04-04,80
2,Operating Systems,Tech,132,2025-02-22,2025-03-09,50
3,DBMS,Tech,12,2025-02-12,2025-02-24,20
4,DBMS,Programming,192,2025-01-12,2025-01-23,10
5,Python,Data Science,25,2025-03-02,2025-03-09,0
6,DBMS,Tech,10,2025-01-05,2025-01-13,0
7,Operating Systems,AI,36,2025-02-25,2025-02-26,0
8,Operating Systems,Data Science,11,2025-03-24,2025-03-30,0
9,AI Basics,Data Science,99,2025-03-05,2025-03-20,50
10,Machine Learning,Data Science,9,2025-01-05,2025-01-18,30
11,Python,Data Science,61,2025-02-12,2025-03-02,80
12,AI Basics,Tech,189,2025-02-26,2025-03-04,0
13,Python,Data Science,3,2025-02-11,2025-02-15,0
14,AI Basics,Tech,60,2025-01-18,2025-01-24,0
15,Machine Learning,Data Science,106,2025-03-12,2025-03-30,80
16,Operating Systems,Tech,109,2025-02-28,2025-03-18,80
17,DBMS,Tech,99,2025-01-02,2025-01-20,80
18,DBMS,Tech,119,2025-03-12,2025-03-28,60
19,Python,Programming,45,2025-02-12,2025-02-19,0
20,AI Basics,Data Science,76,2025-01-25,2025-02-08,40
21,AI Basics,Data Science,105,2025-03-12,2025-03-16,0
22,AI Basics,Tech,60,2025-01-14,2025-01-19,0
23,DBMS,Data Science,169,2025-03-30,2025-04-11,20
24,Python,Data Science,163,2025-01-03,2025-01-07,0
25,AI Basics,Programming,145,2025-03-24,2025-04-01,0
26,Operating Systems,Data Science,138,2025-02-02,2025-02-14,20
27,Machine Learning,AI,140,2025-02-07,2025-02-18,10
28,DSA,Programming,20,2025-03-14,2025-03-23,0
29,Operating Systems,Tech,83,2025-02-10,2025-03-01,90
30,Python,Data Science,26,2025-02-09,2025-02-18,0
31,Operating Systems,Programming,57,2025-01-13,2025-01-28,50
32,AI Basics,AI,111,2025-01-28,2025-02-11,40
33,DBMS,Tech,167,2025-02-03,2025-02-11,0
34,Operating Systems,AI,193,2025-03-19,2025-03-26,0
35,Python,AI,87,2025-02-14,2025-02-27,30
36,DBMS,Data Science,12,2025-02-10,2025-02-16,0
37,AI Basics,Tech,148,2025-01-08,2025-01-24,60
38,DSA,AI,128,2025-01-22,2025-02-06,50
39,DSA,Data Science,121,2025-01-22,2025-02-03,20
40,AI Basics,Tech,36,2025-01-29,2025-02-11,30
41,DBMS,Data Science,21,2025-03-26,2025-04-13,80
42,DBMS,Programming,160,2025-03-22,2025-04-07,60
